206,"Bare head of Tiberius, left.","Poseidon seated right on rock, naked to waist seated right on rock, holding dolphin in outstretched right hand, left resting on trident. Ground line. Linear border."
207,"Bare head of Tiberius, left.","Poseidon seated right on rock, naked to waist seated right on rock, holding dolphin in outstretched right hand, left resting on trident. Ground line. Linear border."
216,"Laureate head of Domitian, right.","Zeus enthroned left, holding patera in outstretched right hand, leaning left on sceptre. Border of dots."
217,"Laureate head of Domitian, right.","Zeus enthroned left, holding patera in outstretched right hand, leaning left on sceptre. Border of dots."
313,"Diademed and draped bust of Faustina II, right, wearing hair knot. Border of dots.","Zeus enthroned left, holding patera in outstretched right hand, leaning left on sceptre. Border of dots."
314,"Diademed and draped bust of Faustina II, right, wearing hair knot. Border of dots.","Zeus enthroned left, holding patera in outstretched right hand, leaning left on sceptre. Border of dots."
325,"Draped bust of Lucilla, right.","Nude Poseidon standing right, left foot on rock, holding trident in right arm and dolphin in left hand, leaned on his left knee. Ground line. Border of dots."
326,"Draped bust of Lucilla, right.","Nude bearded Poseidon standing facing, head left, holding dolphin in right hand and trident in left arm."
327,"Draped bust of Lucilla, right.","Nude bearded Poseidon standing facing, head left, holding dolphin in right hand and trident in left arm."
436,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
437,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
438,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
439,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
440,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
441,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
442,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
443,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
444,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
445,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
446,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
447,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
448,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
449,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
450,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
451,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
452,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
453,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
454,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
455,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
456,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
457,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
458,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
459,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
460,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
461,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
462,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
463,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
464,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
465,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
466,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
467,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
468,"Head of Poseidon, right, wearing taenia.","Upright trident, right and left dolphins swimming upwards."
